<<<<<<< HEAD
<<<<<<< HEAD
<<<<<<< HEAD
source,target,weight,common_tags
aaron-renner,adam-rosen,0,
aaron-renner,ajay-deep,0,
aaron-renner,alex-peron,0,
ajay-deep,peter-stradinger,0,
ajay-deep,rev-sally-bingham,0,
ajay-deep,richard-curtis-2,0,
ajay-deep,richard-klatt-2,0,
ajay-deep,rishabh-jain-2,0,
ajay-deep,robin-sharma,0,
ajay-deep,sai-koppala,0,
ajay-deep,sara-akhteh,0,
ajay-deep,satya-parimi-2,0,
ajay-deep,sky-works,0,
ajay-deep,steve-mcbee,0,
ajay-deep,sudheera-n,1,India
ajay-deep,takayuki-yamazaki,0,
ajay-deep,tarek-atia,0,
ajay-deep,tim-allison-2,0,
ajay-deep,timothy-brown-2,0,
ajay-deep,tom-barber-2,0,
ajay-deep,tyler-rosen,0,
ajay-deep,vicki-abeles,0,
ajay-deep,virkaran-awasty,0,
ajay-deep,william-sauer,0,
ajay-deep,xavier-gomez,0,
ajay-deep,yiqing-du,0,
ajay-deep,yj-min,0,
alex-peron,amrit-gill,0,
alex-peron,anna-hejka,0,
alex-peron,annie-sprinkle,0,
alex-peron,anthony-hand,0,
alex-peron,anu-vaidyanathan,0,
alex-peron,austin-thesing,0,
alex-peron,beth-akers,0,
alex-peron,brian-joros,0,
alex-peron,caralee-adams,0,
alex-peron,chad-wood,0,
alex-peron,chris-barrett,0,
alex-peron,chris-evans-5,0,
alex-peron,chris-kelly-6,0,
alex-peron,clemens-weidenbach,0,
alex-peron,clifton-lawson,0,
alex-peron,colin-schmitt,0,
alex-peron,corey-gorman,0,
alex-peron,dan-lewis-2,0,
alex-peron,daniel-carlin-2,0,
alex-peron,darren-bassman,0,
alex-peron,daryl-mastracci-2,0,
alex-peron,dimitris-papazisis-2,0,
alex-peron,diogo-quental,0,
alex-peron,donald-chip-brown,0,
alex-peron,dwyane-wade,0,
alex-peron,emily-o-brien,0,
alex-peron,eric-gilbert-deerfield-il,0,
alex-peron,eric-price,0,
alex-peron,eric-quan,0,
alex-peron,evan-lesser,0,
alex-peron,georg-holzer,0,
alex-peron,greg-ball,0,
alex-peron,gretchen-west,0,
alex-peron,hans-bakker,0,
alex-peron,homer-quan,0,
alex-peron,irvin-goldman,0,
alex-peron,ivo-mynttinen,0,
alex-peron,jamie-young-2,0,
alex-peron,jari-pallari,0,
alex-peron,jason-develvis,0,
alex-peron,jason-fishman,0,
alex-peron,jd-hancock,0,
alex-peron,jim-adler,0,
alex-peron,joan-guasch,0,
alex-peron,joeben-beverit,0,
alex-peron,joel-gibbard,0,
alex-peron,johann-kratzer,0,
alex-peron,john-andrews-2,0,
alex-peron,john-sawin,0,
alex-peron,johnny-vowles,0,
alex-peron,kathy-walter,0,
alex-peron,kavita-shah,0,
alex-peron,kelly-makino,0,
alex-peron,kevin-gao-2,0,
alex-peron,konstantin-boudnik,0,
alex-peron,krishna-caldas,0,
alex-peron,kurt-bilafer,0,
alex-peron,lauren-rabaino,0,
alex-peron,louis-zacharilla,0,
alex-peron,marc-nijdam,0,
alex-peron,marcel-imery,0,
alex-peron,marcin-klepacki,0,
alex-peron,martin-hiles,0,
alex-peron,mr-kermit,0,
alex-peron,mr-kunmi-dumeren,0,
alex-peron,nick-burch,0,
alex-peron,nick-petit,0,
alex-peron,nigel-reading,0,
alex-peron,peter-frykman,0,
alex-peron,peter-hepworth,0,
alex-peron,peter-stradinger,0,
alex-peron,rev-sally-bingham,0,
alex-peron,richard-curtis-2,0,
alex-peron,richard-klatt-2,0,
alex-peron,rishabh-jain-2,0,
alex-peron,robin-sharma,0,
alex-peron,sai-koppala,0,
alex-peron,sara-akhteh,0,
alex-peron,satya-parimi-2,0,
alex-peron,sky-works,0,
alex-peron,steve-mcbee,0,
alex-peron,sudheera-n,0,
alex-peron,takayuki-yamazaki,0,
alex-peron,tarek-atia,0,
alex-peron,tim-allison-2,0,
alex-peron,timothy-brown-2,0,
alex-peron,tom-barber-2,0,
alex-peron,tyler-rosen,0,
alex-peron,vicki-abeles,0,
alex-peron,virkaran-awasty,0,
alex-peron,william-sauer,0,
alex-peron,xavier-gomez,0,
alex-peron,yiqing-du,0,
alex-peron,yj-min,0,
amrit-gill,anna-hejka,0,
amrit-gill,annie-sprinkle,0,
amrit-gill,anthony-hand,0,
amrit-gill,anu-vaidyanathan,0,
amrit-gill,austin-thesing,1,Founder
amrit-gill,beth-akers,0,
amrit-gill,brian-joros,0,
amrit-gill,caralee-adams,0,
amrit-gill,chad-wood,1,Founder
amrit-gill,chris-barrett,0,
amrit-gill,chris-evans-5,0,
amrit-gill,chris-kelly-6,0,
amrit-gill,clemens-weidenbach,0,
amrit-gill,clifton-lawson,0,
amrit-gill,colin-schmitt,1,Black Stone Technologies
amrit-gill,corey-gorman,0,
amrit-gill,dan-lewis-2,0,
amrit-gill,daniel-carlin-2,0,
amrit-gill,darren-bassman,1,Founder
amrit-gill,daryl-mastracci-2,0,
amrit-gill,dimitris-papazisis-2,0,
amrit-gill,diogo-quental,0,
amrit-gill,donald-chip-brown,0,
amrit-gill,dwyane-wade,0,
amrit-gill,emily-o-brien,0,
amrit-gill,eric-gilbert-deerfield-il,0,
amrit-gill,eric-price,1,Founder
amrit-gill,eric-quan,0,
amrit-gill,evan-lesser,0,
amrit-gill,georg-holzer,0,
amrit-gill,greg-ball,2,"Black Stone Technologies, Founder"
amrit-gill,gretchen-west,0,
amrit-gill,hans-bakker,0,
amrit-gill,homer-quan,0,
amrit-gill,irvin-goldman,0,
amrit-gill,ivo-mynttinen,0,
amrit-gill,jamie-young-2,0,
amrit-gill,jari-pallari,0,
amrit-gill,jason-develvis,1,Founder
amrit-gill,jason-fishman,0,
amrit-gill,jd-hancock,0,
amrit-gill,jim-adler,0,
amrit-gill,joan-guasch,0,
amrit-gill,joeben-beverit,0,
amrit-gill,joel-gibbard,0,
amrit-gill,johann-kratzer,0,
amrit-gill,john-andrews-2,0,
amrit-gill,john-sawin,0,
amrit-gill,johnny-vowles,1,Founder
amrit-gill,kathy-walter,0,
amrit-gill,kavita-shah,1,Founder
amrit-gill,kelly-makino,0,
amrit-gill,kevin-gao-2,1,Founder
amrit-gill,konstantin-boudnik,0,
amrit-gill,krishna-caldas,1,Founder
amrit-gill,kurt-bilafer,0,
amrit-gill,lauren-rabaino,0,
amrit-gill,louis-zacharilla,0,
amrit-gill,marc-nijdam,0,
amrit-gill,marcel-imery,0,
amrit-gill,marcin-klepacki,1,Founder
amrit-gill,martin-hiles,0,
amrit-gill,mr-kermit,0,
amrit-gill,mr-kunmi-dumeren,0,
amrit-gill,nick-burch,0,
amrit-gill,nick-petit,0,
amrit-gill,nigel-reading,0,
amrit-gill,peter-frykman,1,Founder
amrit-gill,peter-hepworth,0,
amrit-gill,peter-stradinger,0,
amrit-gill,rev-sally-bingham,0,
amrit-gill,richard-curtis-2,0,
amrit-gill,richard-klatt-2,0,
amrit-gill,rishabh-jain-2,0,
amrit-gill,robin-sharma,0,
amrit-gill,sai-koppala,0,
amrit-gill,sara-akhteh,0,
amrit-gill,satya-parimi-2,0,
amrit-gill,sky-works,0,
amrit-gill,steve-mcbee,0,
amrit-gill,sudheera-n,0,
amrit-gill,takayuki-yamazaki,0,
amrit-gill,tarek-atia,0,
amrit-gill,tim-allison-2,0,
amrit-gill,timothy-brown-2,0,
amrit-gill,tom-barber-2,0,
amrit-gill,tyler-rosen,0,
amrit-gill,vicki-abeles,0,
amrit-gill,virkaran-awasty,0,
amrit-gill,william-sauer,0,
amrit-gill,xavier-gomez,0,
amrit-gill,yiqing-du,1,Founder
amrit-gill,yj-min,0,
anna-hejka,annie-sprinkle,0,
anna-hejka,anthony-hand,0,
anna-hejka,anu-vaidyanathan,0,
anna-hejka,austin-thesing,0,
anna-hejka,beth-akers,0,
anna-hejka,brian-joros,0,
anna-hejka,caralee-adams,0,
anna-hejka,chad-wood,0,
anna-hejka,chris-barrett,0,
anna-hejka,chris-evans-5,0,
anna-hejka,chris-kelly-6,0,
anna-hejka,clemens-weidenbach,0,
anna-hejka,clifton-lawson,0,
anna-hejka,colin-schmitt,0,
anna-hejka,corey-gorman,0,
anna-hejka,dan-lewis-2,0,
anna-hejka,daniel-carlin-2,0,
anna-hejka,darren-bassman,0,
anna-hejka,daryl-mastracci-2,0,
anna-hejka,dimitris-papazisis-2,0,
anna-hejka,diogo-quental,0,
anna-hejka,donald-chip-brown,0,
anna-hejka,dwyane-wade,0,
anna-hejka,emily-o-brien,0,
anna-hejka,eric-gilbert-deerfield-il,0,
anna-hejka,eric-price,0,
anna-hejka,eric-quan,0,
anna-hejka,evan-lesser,0,
anna-hejka,georg-holzer,0,
anna-hejka,greg-ball,0,
anna-hejka,gretchen-west,0,
anna-hejka,hans-bakker,0,
anna-hejka,homer-quan,0,
anna-hejka,irvin-goldman,1,JPMorgan Chase
anna-hejka,ivo-mynttinen,0,
anna-hejka,jamie-young-2,0,
anna-hejka,jari-pallari,0,
anna-hejka,jason-develvis,0,
anna-hejka,jason-fishman,0,
anna-hejka,jd-hancock,0,
anna-hejka,jim-adler,0,
anna-hejka,joan-guasch,0,
anna-hejka,joeben-beverit,0,
anna-hejka,joel-gibbard,0,
anna-hejka,johann-kratzer,0,
anna-hejka,john-andrews-2,0,
anna-hejka,john-sawin,0,
anna-hejka,johnny-vowles,0,
anna-hejka,kathy-walter,0,
anna-hejka,kavita-shah,0,
anna-hejka,kelly-makino,0,
anna-hejka,kevin-gao-2,0,
anna-hejka,konstantin-boudnik,0,
anna-hejka,krishna-caldas,0,
anna-hejka,kurt-bilafer,0,
anna-hejka,lauren-rabaino,0,
anna-hejka,louis-zacharilla,0,
anna-hejka,marc-nijdam,0,
anna-hejka,marcel-imery,0,
anna-hejka,marcin-klepacki,0,
anna-hejka,martin-hiles,0,
anna-hejka,mr-kermit,0,
anna-hejka,mr-kunmi-dumeren,0,
anna-hejka,nick-burch,0,
anna-hejka,nick-petit,0,
anna-hejka,nigel-reading,0,
anna-hejka,peter-frykman,0,
anna-hejka,peter-hepworth,0,
anna-hejka,peter-stradinger,0,
anna-hejka,rev-sally-bingham,0,
anna-hejka,richard-curtis-2,0,
anna-hejka,richard-klatt-2,0,
anna-hejka,rishabh-jain-2,0,
anna-hejka,robin-sharma,0,
anna-hejka,sai-koppala,0,
anna-hejka,sara-akhteh,0,
anna-hejka,satya-parimi-2,0,
anna-hejka,sky-works,0,
anna-hejka,steve-mcbee,0,
anna-hejka,sudheera-n,0,
anna-hejka,takayuki-yamazaki,0,
anna-hejka,tarek-atia,0,
anna-hejka,tim-allison-2,0,
anna-hejka,timothy-brown-2,0,
anna-hejka,tom-barber-2,0,
anna-hejka,tyler-rosen,0,
anna-hejka,vicki-abeles,0,
anna-hejka,virkaran-awasty,0,
anna-hejka,william-sauer,0,
anna-hejka,xavier-gomez,0,
anna-hejka,yiqing-du,0,
anna-hejka,yj-min,0,
annie-sprinkle,anthony-hand,0,
annie-sprinkle,anu-vaidyanathan,0,
annie-sprinkle,austin-thesing,0,
annie-sprinkle,beth-akers,0,
annie-sprinkle,brian-joros,0,
annie-sprinkle,caralee-adams,0,
annie-sprinkle,chad-wood,0,
annie-sprinkle,chris-barrett,0,
annie-sprinkle,chris-evans-5,0,
annie-sprinkle,chris-kelly-6,0,
annie-sprinkle,clemens-weidenbach,0,
annie-sprinkle,clifton-lawson,0,
annie-sprinkle,colin-schmitt,0,
annie-sprinkle,corey-gorman,0,
annie-sprinkle,dan-lewis-2,0,
annie-sprinkle,daniel-carlin-2,0,
annie-sprinkle,darren-bassman,0,
annie-sprinkle,daryl-mastracci-2,0,
annie-sprinkle,dimitris-papazisis-2,0,
annie-sprinkle,diogo-quental,0,
annie-sprinkle,donald-chip-brown,0,
annie-sprinkle,dwyane-wade,0,
annie-sprinkle,emily-o-brien,0,
annie-sprinkle,eric-gilbert-deerfield-il,0,
annie-sprinkle,eric-price,0,
annie-sprinkle,eric-quan,0,
annie-sprinkle,evan-lesser,0,
annie-sprinkle,georg-holzer,0,
annie-sprinkle,greg-ball,0,
annie-sprinkle,gretchen-west,0,
annie-sprinkle,hans-bakker,0,
annie-sprinkle,homer-quan,0,
annie-sprinkle,irvin-goldman,0,
annie-sprinkle,ivo-mynttinen,0,
annie-sprinkle,jamie-young-2,0,
annie-sprinkle,jari-pallari,0,
annie-sprinkle,jason-develvis,0,
annie-sprinkle,jason-fishman,0,
annie-sprinkle,jd-hancock,0,
annie-sprinkle,jim-adler,0,
annie-sprinkle,joan-guasch,0,
annie-sprinkle,joeben-beverit,0,
annie-sprinkle,joel-gibbard,0,
annie-sprinkle,johann-kratzer,0,
annie-sprinkle,john-andrews-2,0,
annie-sprinkle,john-sawin,0,
annie-sprinkle,johnny-vowles,0,
annie-sprinkle,kathy-walter,0,
annie-sprinkle,kavita-shah,0,
annie-sprinkle,kelly-makino,0,
annie-sprinkle,kevin-gao-2,0,
annie-sprinkle,konstantin-boudnik,0,
annie-sprinkle,krishna-caldas,0,
annie-sprinkle,kurt-bilafer,0,
annie-sprinkle,lauren-rabaino,0,
annie-sprinkle,louis-zacharilla,0,
annie-sprinkle,marc-nijdam,0,
annie-sprinkle,marcel-imery,0,
annie-sprinkle,marcin-klepacki,0,
annie-sprinkle,martin-hiles,0,
annie-sprinkle,mr-kermit,0,
annie-sprinkle,mr-kunmi-dumeren,0,
annie-sprinkle,nick-burch,0,
annie-sprinkle,nick-petit,0,
annie-sprinkle,nigel-reading,0,
annie-sprinkle,peter-frykman,0,
annie-sprinkle,peter-hepworth,0,
annie-sprinkle,peter-stradinger,0,
annie-sprinkle,rev-sally-bingham,0,
annie-sprinkle,richard-curtis-2,0,
annie-sprinkle,richard-klatt-2,0,
annie-sprinkle,rishabh-jain-2,0,
annie-sprinkle,robin-sharma,0,
annie-sprinkle,sai-koppala,0,
annie-sprinkle,sara-akhteh,0,
annie-sprinkle,satya-parimi-2,0,
annie-sprinkle,sky-works,0,
annie-sprinkle,steve-mcbee,0,
annie-sprinkle,sudheera-n,0,
annie-sprinkle,takayuki-yamazaki,0,
annie-sprinkle,tarek-atia,0,
annie-sprinkle,tim-allison-2,0,
annie-sprinkle,timothy-brown-2,0,
annie-sprinkle,tom-barber-2,0,
annie-sprinkle,tyler-rosen,0,
annie-sprinkle,vicki-abeles,0,
annie-sprinkle,virkaran-awasty,0,
annie-sprinkle,william-sauer,0,
annie-sprinkle,xavier-gomez,0,
annie-sprinkle,yiqing-du,0,
annie-sprinkle,yj-min,0,
anthony-hand,anu-vaidyanathan,0,
anthony-hand,austin-thesing,0,
anthony-hand,beth-akers,0,
anthony-hand,brian-joros,0,
anthony-hand,caralee-adams,0,
anthony-hand,chad-wood,0,
anthony-hand,chris-barrett,0,
anthony-hand,chris-evans-5,0,
anthony-hand,chris-kelly-6,0,
anthony-hand,clemens-weidenbach,0,
anthony-hand,clifton-lawson,0,
anthony-hand,colin-schmitt,0,
anthony-hand,corey-gorman,0,
anthony-hand,dan-lewis-2,0,
anthony-hand,daniel-carlin-2,1,founder
anthony-hand,darren-bassman,0,
anthony-hand,daryl-mastracci-2,0,
anthony-hand,dimitris-papazisis-2,0,
anthony-hand,diogo-quental,0,
anthony-hand,donald-chip-brown,0,
anthony-hand,dwyane-wade,0,
anthony-hand,emily-o-brien,0,
anthony-hand,eric-gilbert-deerfield-il,0,
anthony-hand,eric-price,0,
anthony-hand,eric-quan,0,
anthony-hand,evan-lesser,0,
anthony-hand,georg-holzer,0,
anthony-hand,greg-ball,0,
anthony-hand,gretchen-west,0,
anthony-hand,hans-bakker,0,
anthony-hand,homer-quan,0,
anthony-hand,irvin-goldman,0,
anthony-hand,ivo-mynttinen,0,
anthony-hand,jamie-young-2,0,
anthony-hand,jari-pallari,0,
anthony-hand,jason-develvis,0,
anthony-hand,jason-fishman,0,
anthony-hand,jd-hancock,0,
anthony-hand,jim-adler,0,
anthony-hand,joan-guasch,0,
anthony-hand,joeben-beverit,1,passion
anthony-hand,joel-gibbard,0,
anthony-hand,johann-kratzer,0,
anthony-hand,john-andrews-2,0,
anthony-hand,john-sawin,0,
anthony-hand,johnny-vowles,0,
anthony-hand,kathy-walter,0,
anthony-hand,kavita-shah,0,
anthony-hand,kelly-makino,1,passion
anthony-hand,kevin-gao-2,0,
anthony-hand,konstantin-boudnik,0,
anthony-hand,krishna-caldas,0,
anthony-hand,kurt-bilafer,0,
anthony-hand,lauren-rabaino,0,
anthony-hand,louis-zacharilla,0,
anthony-hand,marc-nijdam,0,
anthony-hand,marcel-imery,0,
anthony-hand,marcin-klepacki,0,
anthony-hand,martin-hiles,0,
anthony-hand,mr-kermit,0,
anthony-hand,mr-kunmi-dumeren,0,
anthony-hand,nick-burch,0,
anthony-hand,nick-petit,0,
anthony-hand,nigel-reading,0,
anthony-hand,peter-frykman,0,
anthony-hand,peter-hepworth,0,
anthony-hand,peter-stradinger,0,
anthony-hand,rev-sally-bingham,0,
anthony-hand,richard-curtis-2,0,
anthony-hand,richard-klatt-2,0,
anthony-hand,rishabh-jain-2,0,
anthony-hand,robin-sharma,0,
anthony-hand,sai-koppala,0,
anthony-hand,sara-akhteh,0,
anthony-hand,satya-parimi-2,0,
anthony-hand,sky-works,1,time
anthony-hand,steve-mcbee,0,
anthony-hand,sudheera-n,0,
anthony-hand,takayuki-yamazaki,1,passion
anthony-hand,tarek-atia,0,
anthony-hand,tim-allison-2,0,
anthony-hand,timothy-brown-2,0,
anthony-hand,tom-barber-2,0,
anthony-hand,tyler-rosen,0,
anthony-hand,vicki-abeles,0,
anthony-hand,virkaran-awasty,0,
anthony-hand,william-sauer,0,
anthony-hand,xavier-gomez,0,
anthony-hand,yiqing-du,0,
anthony-hand,yj-min,0,
anu-vaidyanathan,austin-thesing,0,
anu-vaidyanathan,beth-akers,0,
anu-vaidyanathan,brian-joros,0,
anu-vaidyanathan,caralee-adams,0,
anu-vaidyanathan,chad-wood,0,
anu-vaidyanathan,chris-barrett,0,
anu-vaidyanathan,chris-evans-5,0,
anu-vaidyanathan,chris-kelly-6,0,
anu-vaidyanathan,clemens-weidenbach,1,Bangalore
anu-vaidyanathan,clifton-lawson,0,
anu-vaidyanathan,colin-schmitt,0,
anu-vaidyanathan,corey-gorman,0,
anu-vaidyanathan,dan-lewis-2,0,
anu-vaidyanathan,daniel-carlin-2,0,
anu-vaidyanathan,darren-bassman,0,
anu-vaidyanathan,daryl-mastracci-2,0,
anu-vaidyanathan,dimitris-papazisis-2,0,
anu-vaidyanathan,diogo-quental,0,
anu-vaidyanathan,donald-chip-brown,0,
anu-vaidyanathan,dwyane-wade,0,
anu-vaidyanathan,emily-o-brien,0,
